denominazione;idstazione;latitudine;longitudine;quota;altezza;idsensore;nometipologia
BIENNO Piazze;1692;45.92751024;10.29124095;472;0;17443;T
BRONI ;1862;45.04448039;9.223860817;77;0;17432;T
TAVERNOLA BERGAMASCA Gallinarga;1871;45.69633021;10.05422004;185;0;17451;T
LASNIGO s.Alessandro;1872;45.88564351;9.261213608;554;0;17460;T
MAGENTA cascina Mainaga;1874;45.4580293;8.854460246;137;0;17488;T
ASOLA v.Industria;1877;45.22535225;10.39707082;38;0;17552;T
MONTICHIARI Boschetti;1879;45.40275984;10.41406192;92;0;17562;T
LOMELLO Cantona;1880;45.12147725;8.808299137;84;0;17573;T
TAVERNOLE SUL MELLA Monte Guglielmo;1890;45.75389594;10.17540709;1790;0;22003;T
PORTO VALTRAVAGLIA San Michele;1891;45.94458167;8.713738581;875;0;22023;T
Bereguardo;1899;45.26278148;9.021910873;95;0;12716;T
1975--Rilocabile;1975;45.47557768;9.1798989;122;0;17607;T
